title	requisitions
Physical Design Engineer - Static Timing Analysis, Annapurna Labs, Cloud Scale Machine Learning	1
PostgreSQL Database Engineer , RDS	1
Power and Performance Validation Engineer, Annapurna Labs	1
Principal ASIC Engineer	1
Principal Data Engineer, Intelligent Talent Acquisition	1
Principal Engineer , Quick – Structured Data Stack	1
Principal Engineer, AWS Agentic AI	1
Principal Engineer, Amazon | Multiple Locations, USA, Global Specialty Recruiting Team	1
Principal Engineer, EC2	1
Principal Forward Deployed Engineer, Forward Deployed Engineering	1
Principal Machine Learning Engineer, Conversational AI Modeling and Learning	1
Principal Product Manager (Technical), AWS Certificate Manager	1
Principal Software Engineer	1
Principal Software Engineer, AWS Lambda	1
Principal Software Engineer, Alexa AI (AURORA)	1
Principal Software Engineer, Amazon Autos	1
Principal Software Engineer, Amazon DSP (Demand-Side Platform) — Advertising	1
Principal Software Engineer, Amazon DynamoDB	1
Principal Software Engineer, Amazon Shipping	1
Principal Software Engineer, Delivery Experience (DEX)	1
Principal Software Engineer, Device Cloud Core Services	1
Principal Software Engineer, Elasticache	1
Principal Software Engineer, Enterprise Productivity	1
Principal Software Engineer, Fulfillment by Amazon - IOS	1
Principal Software Engineer, IES LATECH & GIS	1
Principal Software Engineer, MADS	1
